step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
12,A_to_B_prime_adapt,0.71,-0.85,4.2,-21.753,-2.4309,-21.4765,-2.1544,0.3893,-0.6987,-1.0
13,A_to_B_prime_adapt,0.71,-0.85,4.2,-24.0391,-2.5627,-23.8106,-2.3342,0.3218,-0.759,-1.0
14,A_to_B_prime_adapt,0.71,-0.85,4.2,-26.4733,-2.6627,-26.2628,-2.4522,0.2976,-0.8072,-1.0
15,A_to_B_prime_adapt,0.71,-0.85,4.2,-28.9215,-2.6587,-28.7335,-2.4707,0.2658,-0.8457,-1.0
16,A_to_B_prime_adapt,0.71,-0.85,4.2,-31.2174,-2.484,-31.0564,-2.3229,0.2277,-0.8766,-1.0
17,A_to_B_prime_adapt,0.71,-0.85,4.2,-33.5757,-2.5193,-33.4469,-2.3905,0.1819,-0.9013,-1.0
18,A_to_B_prime_adapt,0.71,-0.85,4.2,-36.0466,-2.5997,-35.9339,-2.487,0.1595,-0.921,-1.0
19,A_to_B_prime_adapt,0.71,-0.85,4.2,-38.3786,-2.4447,-38.2789,-2.345,0.1409,-0.9368,-1.0
20,A_to_B_prime_adapt,0.71,-0.85,4.2,-40.6046,-2.3258,-40.5247,-2.2459,0.1121,-0.9495,-1.0
21,A_to_B_prime_adapt,0.71,-0.85,4.2,-42.8604,-2.3357,-42.7954,-2.2706,0.0898,-0.9596,-1.0
22,A_to_B_prime_adapt,0.71,-0.85,4.2,-45.1377,-2.3423,-45.0817,-2.2863,0.0789,-0.9677,-1.0
23,A_to_B_prime_adapt,0.71,-0.85,4.2,-47.3283,-2.2466,-47.2804,-2.1987,0.0662,-0.9741,-1.0
24,A_to_B_prime_adapt,0.71,-0.85,4.2,-49.6189,-2.3384,-49.5797,-2.2993,0.0548,-0.9793,-1.0
25,A_to_B_prime_adapt,0.71,-0.85,4.2,-51.6783,-2.0986,-51.6435,-2.0638,0.0471,-0.9834,-1.0
26,A_to_B_prime_adapt,0.71,-0.85,4.2,-53.7604,-2.1169,-53.7338,-2.0903,0.0373,-0.9867,-1.0
27,A_to_B_prime_adapt,0.71,-0.85,4.2,-55.7337,-1.9999,-55.7108,-1.977,0.0331,-0.9894,-1.0
28,A_to_B_prime_adapt,0.71,-0.85,4.2,-57.9025,-2.1917,-57.8841,-2.1733,0.027,-0.9915,-1.0
29,A_to_B_prime_adapt,0.71,-0.85,4.2,-60.1947,-2.3106,-60.1775,-2.2934,0.0241,-0.9932,-1.0
30,A_to_B_prime_adapt,0.71,-0.85,4.2,-62.3775,-2.2,-62.3621,-2.1846,0.022,-0.9946,-1.0
31,A_to_B_prime_adapt,0.71,-0.85,4.2,-64.6021,-2.24,-64.5896,-2.2275,0.0167,-0.9957,-1.0
32,A_to_B_prime_adapt,0.71,-0.85,4.2,-66.6937,-2.1041,-66.6829,-2.0933,0.0154,-0.9965,-1.0
33,A_to_B_prime_adapt,0.71,-0.85,4.2,-68.7947,-2.1119,-68.7861,-2.1032,0.013,-0.9972,-1.0
34,A_to_B_prime_adapt,0.71,-0.85,4.2,-70.775,-1.9889,-70.7676,-1.9815,0.0117,-0.9978,-1.0
35,A_to_B_prime_adapt,0.71,-0.85,4.2,-72.6696,-1.902,-72.6637,-1.896,0.0086,-0.9982,-1.0
36,A_to_B_prime_adapt,0.71,-0.85,4.2,-74.5903,-1.9266,-74.5855,-1.9218,0.0067,-0.9986,-1.0
37,A_to_B_prime_adapt,0.71,-0.85,4.2,-76.5899,-2.0045,-76.5858,-2.0003,0.0066,-0.9989,-1.0
38,A_to_B_prime_adapt,0.71,-0.85,4.2,-78.8112,-2.2255,-78.8076,-2.2218,0.0058,-0.9991,-1.0
39,A_to_B_prime_adapt,0.71,-0.85,4.2,-81.1402,-2.3326,-81.1367,-2.3291,0.0044,-0.9993,-1.0
40,A_to_B_prime_adapt,0.71,-0.85,4.2,-83.3356,-2.1989,-83.3325,-2.1958,0.0052,-0.9994,-1.0
